[Summary]
Cell: 239 NMC811 30C
First Protocol: C:\Users\OEMS\Documents\EC-Lab\Data\Mitch\Protocols\AMIDR Form.mps
Mass (mg): 1.317
Capacity (mAHr): 0.296
Started: 05/02/2023 14:35:43.272
[End Summary]
[Data]
Step Type,Run Time (h),Current (A),Potential vs. Counter (V),Potential (V),Capacity (Ah),Step Number
1,0.0,1.4716825e-05,3.0433404,2.7339432,0.0,1
1,5.7944442980644665e-05,1.4802331e-05,3.053369,2.7422433,8.577020589986609e-10,1
1,0.00013927777425932518,1.4801758999999999e-05,3.0633836,2.7522388,2.061607345473021e-09,1
1,0.00022577777207415136,1.4801821e-05,3.0734935,2.7624059,3.3419861805418297e-09,1
1,0.0003174999919792753,1.4802204e-05,3.0835271,2.7725348,4.6996686745745435e-09,1
1,0.00041205554514615666,1.4802012999999999e-05,3.0935798,2.7826066,6.099289194215089e-09,1
1,0.0005084999871542094,1.4802076000000001e-05,3.1035943,2.7927356,7.52687073002259e-09,1
1,0.0006076666513157156,1.480214e-05,3.1136661,2.8027692,8.994741581225147e-09,1
1,0.0007104444264971083,1.4803157000000002e-05,3.1237569,2.8128982,1.0516065416391941e-08,1
1,0.000815277757182129,1.4801376999999999e-05,3.1338096,2.8229508,1.206781457224861e-08,1
1,0.0009248333099700784,1.4802076000000001e-05,3.1439579,2.8331182,1.368946337415319e-08,1
1,0.0010367221960324161,1.4801504e-05,3.1539724,2.8432472,1.5345649277429202e-08,1
1,0.0011511666375857506,1.4801568e-05,3.1640632,2.8532617,1.7039659844400977e-08,1
1,0.0012709444123376872,1.4801440000000001e-05,3.1741159,2.8634098,1.8812612407633828e-08,1
1,0.0013927221870390998,1.4802076000000001e-05,3.1841495,2.8734434,2.061516955075786e-08,1
1,0.001520944406022156,1.480214e-05,3.1942594,2.8835723,2.251311780507159e-08,1
1,0.001654277735987206,1.4801695e-05,3.2042739,2.8937204,2.448671940579596e-08,1
1,0.0017907221769847739,1.4801885e-05,3.2143075,2.903754,2.6506368665283338e-08,1
