[Summary]
Cell: 259 NMC640 30C
First Protocol: C:\Users\OEMS\Documents\EC-Lab\Data\Mitch\Protocols\AMIDR Form.mps
Mass (mg): 2.687
Capacity (mAHr): 0.604
Started: 05/25/2023 17:46:33.771
[End Summary]
[Data]
Step Type,Run Time (h),Current (A),Potential vs. Counter (V),Potential (V),Capacity (Ah),Step Number
1,4.11968671293222,2.0041630999999998e-06,3.6457883623762375,3.334662969306933,7.198859992454353e-05,1
1,4.119700740709827,2.014882043e-06,3.6459588609999973,3.334769164999999,7.198862818886708e-05,1
1,4.119728518487268,2.014874393000001e-06,3.646069141999999,3.3348725829999997,7.198868415851795e-05,1
1,4.119756296264709,2.014910671e-06,3.6461282739999983,3.3349297930000006,7.198874012772601e-05,1
1,4.119784074042151,2.014946308e-06,3.646201891,3.3349996100000014,7.198879609726513e-05,1
1,4.119811851819591,2.0149323210000002e-06,3.6462327940000008,3.3350291700000003,7.198885206590617e-05,1
1,4.119839629597035,2.0149386900000008e-06,3.646280100000003,3.3350759030000017,7.198890803478278e-05,1
1,4.119867407374474,2.0148814129999998e-06,3.646324732000001,3.335111761,7.19889640038844e-05,1
1,4.1198951851519166,2.0149278839999995e-06,3.6463283510000024,3.335129692000001,7.198901997265442e-05,1
1,4.1199229629293574,2.014823473000001e-06,3.6463453230000016,3.335139988,7.198907594079061e-05,1
1,4.119950740151243,2.0148839600000007e-06,3.646362303,3.3351676420000023,7.198913190819059e-05,1
1,4.120104879593823,2.014986407e-06,3.6464725450000013,3.335272357,7.198944248336861e-05,1
1,4.120382657368236,2.0149005039999997e-06,3.646623614999998,3.3354133170000013,7.199000218015252e-05,1
1,4.120660435142652,2.014812659000001e-06,3.6467168839999986,3.3355012429999995,7.199056186895343e-05,1
1,4.120938212917067,2.0149323220000014e-06,3.646774865999999,3.3355758179999992,7.199112156365946e-05,1
1,4.12121599069148,2.014997887999999e-06,3.646842003999999,3.3356402860000025,7.199168127179197e-05,1
1,4.121493768465896,2.0148521280000004e-06,3.646906471999999,3.3357032320000024,7.199224098179456e-05,1
1,4.121771546240311,2.014941219e-06,3.6469402329999987,3.335753019999999,7.19928006878321e-05,1
1,4.122049324014725,2.0148603859999996e-06,3.6470089109999986,3.335815972000002,7.199336039235269e-05,1
1,4.122327101233584,2.0150099629999996e-06,3.6470594909999994,3.335856445,7.199392009393695e-05,1
1,4.123867490659379,2.014905574000001e-06,3.6472875890000025,3.336077670999998,7.19970238126971e-05,1
1,4.126645268403526,2.014845755e-06,3.647562841,3.336362839999999,7.200262061488756e-05,1
1,4.129423046147673,2.0148298330000003e-06,3.6477781840000008,3.3365833270000014,7.200821733964573e-05,1
1,4.13220082389182,2.0147738100000015e-06,3.647976924000001,3.336760328000001,7.201381401731803e-05,1
1,4.134978601635966,2.0148782190000007e-06,3.648131605000001,3.3369255059999974,7.201941072832237e-05,1
1,4.137756379380113,2.0147750930000008e-06,3.6482850060000023,3.3370674629999995,7.202500738464731e-05,1
1,4.14053415712426,2.014747100999999e-06,3.6484011140000008,3.337196343999999,7.203060401826727e-05,1
1,4.143311934868406,2.0147814560000002e-06,3.6485150369999992,3.3373116039999995,7.203620068457952e-05,1
1,4.146089712056997,2.014732438000001e-06,3.64863577,3.3374285269999997,7.204179731417181e-05,1
1,4.161492601314954,2.0147661850000015e-06,3.649121002000001,3.3379015460000003,7.207283052563566e-05,1
0,4.1943077675843226,0.0,3.6510153,3.339874,7.213891815707182e-05,2
0,4.19708554532847,0.0,3.648644,3.3376362,7.213891815707182e-05,2
0,4.199863323072616,0.0,3.6485295,3.3374074,7.213891815707182e-05,2
0,4.202641100816764,0.0,3.6482625,3.3371975,7.213891815707182e-05,2
0,4.205418878560911,0.0,3.6480525,3.3369493,7.213891815707182e-05,2
0,4.208196656305056,0.0,3.6481097,3.3369684,7.213891815707182e-05,2
0,4.210974434049203,0.0,3.6478617,3.3367586,7.213891815707182e-05,2
0,4.21375221179335,0.0,3.6478617,3.3367395,7.213891815707182e-05,2
0,4.216529989537498,0.0,3.6477473,3.3366442,7.213891815707182e-05,2
0,4.219307767281644,0.0,3.6478236,3.3365679,7.213891815707182e-05,2
0,4.222085545025789,0.0,3.6475947,3.3364344,7.213891815707182e-05,2
0,4.224863322769936,0.0,3.6476901,3.3364534,7.213891815707182e-05,2
0,4.2276411005140835,0.0,3.6474421,3.3363962,7.213891815707182e-05,2
0,4.230418878258231,0.0,3.6474612,3.3364153,7.213891815707182e-05,2
0,4.233196656002378,0.0,3.6475184,3.3364153,7.213891815707182e-05,2
0,4.235974433746522,0.0,3.6474421,3.3362627,7.213891815707182e-05,2
0,4.238752211490669,0.0,3.647423,3.336339,7.213891815707182e-05,2
0,4.241529989234817,0.0,3.6473086,3.3362627,7.213891815707182e-05,2
0,4.244307766978964,0.0,3.6475947,3.336339,7.213891815707182e-05,2
0,4.247085544723111,0.0,3.6473658,3.3362818,7.213891815707182e-05,2
0,4.249863322467259,0.0,3.6473467,3.3361483,7.213891815707182e-05,2
0,4.252641100211402,0.0,3.6473658,3.3361483,7.213891815707182e-05,2
0,4.25541887795555,0.0,3.6472704,3.3361292,7.213891815707182e-05,2
0,4.258196655699697,0.0,3.6470988,3.3360338,7.213891815707182e-05,2
0,4.260974433443844,0.0,3.6472895,3.3361101,7.213891815707182e-05,2
0,4.263752211187992,0.0,3.6471369,3.3360338,7.213891815707182e-05,2
0,4.266529988932136,0.0,3.6470225,3.3359957,7.213891815707182e-05,2
0,4.269307766676283,0.0,3.6470034,3.3359575,7.213891815707182e-05,2
0,4.27208554442043,0.0,3.6470416,3.3359957,7.213891815707182e-05,2
0,4.2748633221645775,0.0,3.6471369,3.3359575,7.213891815707182e-05,2
0,4.277641099908725,0.0,3.6471179,3.3359385,7.213891815707182e-05,2
0,4.2804188776528695,0.0,3.6470606,3.3359385,7.213891815707182e-05,2
0,4.283196655397017,0.0,3.6472132,3.3361101,7.213891815707182e-05,2
0,4.285974433141164,0.0,3.6468124,3.3357475,7.213891815707182e-05,2
0,4.288752210885311,0.0,3.6471367,3.3359001,7.213891815707182e-05,2
0,4.291529988629458,0.0,3.6470606,3.3359385,7.213891815707182e-05,2
0,4.294307766373603,0.0,3.646965,3.3358428,7.213891815707182e-05,2
0,4.29708554411775,0.0,3.6467552,3.3357856,7.213891815707182e-05,2
0,4.299863321861897,0.0,3.6469841,3.3358428,7.213891815707182e-05,2
0,4.302641099606045,0.0,3.6469078,3.3357856,7.213891815707182e-05,2
0,4.305418877350192,0.0,3.6470416,3.3359575,7.213891815707182e-05,2
0,4.308196655094336,0.0,3.6469078,3.3357475,7.213891815707182e-05,2
0,4.310974432838483,0.0,3.6467743,3.3357475,7.213891815707182e-05,2
0,4.3137522105826305,0.0,3.6468506,3.335881,7.213891815707182e-05,2
0,4.316529988326778,0.0,3.6470032,3.335881,7.213891815707182e-05,2
0,4.319307766070925,0.0,3.6468124,3.3357666,7.213891815707182e-05,2
0,4.322085543815069,0.0,3.646946,3.3357475,7.213891815707182e-05,2
0,4.324863321559216,0.0,3.6468124,3.3357666,7.213891815707182e-05,2
0,4.327641099303364,0.0,3.6469078,3.3357666,7.213891815707182e-05,2
0,4.330418877047511,0.0,3.6468697,3.3358428,7.213891815707182e-05,2
0,4.333196654791658,0.0,3.6468124,3.3357284,7.213891815707182e-05,2
0,4.335974432535806,0.0,3.6468697,3.3357093,7.213891815707182e-05,2
0,4.33875221027995,0.0,3.6469269,3.3357475,7.213891815707182e-05,2
0,4.341529988024097,0.0,3.646965,3.3358047,7.213891815707182e-05,2
0,4.344307765768244,0.0,3.6467743,3.3356903,7.213891815707182e-05,2
0,4.347085543512391,0.0,3.6467171,3.3355949,7.213891815707182e-05,2
0,4.349863321256539,0.0,3.6469078,3.3357475,7.213891815707182e-05,2
0,4.352641099000683,0.0,3.6468697,3.3357666,7.213891815707182e-05,2
0,4.355418876744831,0.0,3.646698,3.335614,7.213891815707182e-05,2
0,4.358196654488978,0.0,3.6468697,3.3357666,7.213891815707182e-05,2
0,4.3609744322331245,0.0,3.6467361,3.335633,7.213891815707182e-05,2
0,4.363752209977272,0.0,3.646698,3.3356903,7.213891815707182e-05,2
0,4.3665299877214165,0.0,3.6467361,3.335633,7.213891815707182e-05,2
0,4.369307765465564,0.0,3.6466789,3.335633,7.213891815707182e-05,2
0,4.372085543209711,0.0,3.6467934,3.3357475,7.213891815707182e-05,2
0,4.3748633209538585,0.0,3.6468697,3.3357475,7.213891815707182e-05,2
0,4.377641098698006,0.0,3.6467743,3.3357475,7.213891815707182e-05,2
0,4.3804188764421506,0.0,3.6467552,3.335614,7.213891815707182e-05,2
0,4.383196654186297,0.0,3.6466217,3.335633,7.213891815707182e-05,2
0,4.385974431930444,0.0,3.6466026,3.335633,7.213891815707182e-05,2
0,4.388752209674592,0.0,3.6466217,3.3356712,7.213891815707182e-05,2
0,4.391529987418739,0.0,3.6467743,3.3356903,7.213891815707182e-05,2
