[Summary]
Cell: 270 NM9505 30C
First Protocol: C:\Users\OEMS\Documents\EC-Lab\Data\Mitch\Protocols\AMIDR Form.mps
Mass (mg): 2.157
Capacity (mAHr): 0.485
Started: 05/30/2023 14:14:03.433
[End Summary]
[Data]
Step Type,Run Time (h),Current (A),Potential vs. Counter (V),Potential (V),Capacity (Ah),Step Number
1,0.0,2.4061585e-05,2.9534397,2.6377125,0.0,1
1,5.8777776292926225e-05,2.4197711e-05,2.9634759,2.6456537,1.422299823930694e-09,1
1,0.00014294444083336405,2.4193894e-05,2.9735351,2.6556556,3.459035565352274e-09,1
1,0.0002328888830056207,2.4192622e-05,2.9836323,2.6656766,5.635542626492679e-09,1
1,0.0003278888806057189,2.4199618e-05,2.9936724,2.6758311,7.934408992632395e-09,1
1,0.0004272777669838333,2.4190712999999998e-05,3.0037124,2.6858139,1.0339442883721661e-08,1
1,0.0005302777643818344,2.4204706999999998e-05,3.0137715,2.6956823,1.283184806371315e-08,1
1,0.000639833317169784,2.4197711e-05,3.0238307,2.7058558,1.5482892574432e-08,1
1,0.0007523333143277948,2.4191985e-05,3.0338707,2.7157624,1.820518797998213e-08,1
1,0.0008706666446717767,2.419135e-05,3.0439298,2.7258596,2.106862288092573e-08,1
1,0.0009958333081764672,2.4198345999999998e-05,3.053932,2.7358618,2.409737533341266e-08,1
1,0.0011259999715548473,2.4205344e-05,3.0639911,2.745959,2.7247064779098658e-08,1
1,0.001263388856973001,2.4196438e-05,3.0741265,2.7560945,3.057150988125553e-08,1
1,0.0014097777421637956,2.4190712999999998e-05,3.0841665,2.7661154,3.411374183144006e-08,1
1,0.001564055516044189,2.4202162e-05,3.0942068,2.7762129,3.784684431842632e-08,1
1,0.0017263888452766372,2.4195166000000002e-05,3.1042469,2.7862148,4.177485297723777e-08,1
1,0.0018998332853395064,2.4199618e-05,3.1142488,2.7962167,4.597173013589862e-08,1
1,0.002082944391824842,2.4197711e-05,3.1242507,2.8062949,5.040250047151414e-08,1
1,0.002275944386949252,2.4191985e-05,3.1344433,2.8162968,5.507252998008496e-08,1
1,0.002485055492777772,2.4195801e-05,3.1444643,2.8263559,6.013240657684704e-08,1
1,0.0027045554872327355,2.4197073999999998e-05,3.1545234,2.8363388,6.544363452090571e-08,1
1,0.002936611036926075,2.4205978999999998e-05,3.1645827,2.8464935,7.105861631936083e-08,1
1,0.0031878888083560417,2.4200255e-05,3.1746609,2.8565526,7.71387163636585e-08,1
1,0.0034532776905406445,2.4188805e-05,3.1846819,2.8666499,8.35602916803004e-08,1
1,0.0037318887946134476,2.4198345999999998e-05,3.1947029,2.8765755,9.030180308595301e-08,1
1,0.004039777675724408,2.4200255e-05,3.2048004,2.8867683,9.775168892617028e-08,1
1,0.004369555445171297,2.4197073999999998e-05,3.2148023,2.8967702,1.05731253741723e-07,1
1,0.0047194998807754025,2.4195801e-05,3.2248042,2.9068103,1.1419874238626409e-07,1
1,0.0050959998712642104,2.4191985e-05,3.2349205,2.9169266,1.23308747422157e-07,1
1,0.005507055416435631,2.4193257e-05,3.2449417,2.9269669,1.332547973080849e-07,1
1,0.005944110960950233,2.4195801e-05,3.2549436,2.937007,1.438298910411282e-07,1
1,0.006412055393573409,2.420089e-05,3.2649643,2.9469132,1.551522865951475e-07,1
1,0.006911999825388194,2.4202162e-05,3.2749662,2.956877,1.6724901152971302e-07,1
1,0.007461610922614961,2.4195801e-05,3.2849874,2.9669363,1.805474029815652e-07,1
1,0.008039722019121755,2.4193257e-05,3.2950656,2.9769192,1.945353088104683e-07,1
1,0.008677666447450369,2.4195166000000002e-05,3.3051248,2.9870164,2.099708919244715e-07,1
1,0.009366110874503241,2.4192622e-05,3.3151267,2.9970183,2.26628311120905e-07,1
1,0.010093444189462591,2.4203435e-05,3.3251286,3.0069821,2.442267022717537e-07,1
1,0.010908666391090567,2.4193894e-05,3.3352451,3.0170031,2.6395172271184207e-07,1
1,0.011801721924085642,2.420089e-05,3.3452659,3.0271194,2.855599183693735e-07,1
1,0.012781055232678933,2.4197073999999998e-05,3.3553443,3.0371788,3.09255569129044e-07,1
1,0.013877888538303927,2.420089e-05,3.3653464,3.0471616,3.357941502795244e-07,1
1,0.015089388507698863,2.4192622e-05,3.3753481,3.0571444,3.651070587201458e-07,1
1,0.01646305513966379,2.4196438e-05,3.3853884,3.0671844,3.983438862808462e-07,1
1,0.01801149954499124,2.4202162e-05,3.3954284,3.0771673,4.3580913099584483e-07,1
1,0.019826666165802937,2.4186896e-05,3.4054494,3.0871119,4.797278349694486e-07,1
1,0.02193016611266406,2.4197711e-05,3.4154704,3.0971901,5.306225078444307e-07,1
1,0.024417943827595285,2.4195801e-05,3.4254911,3.1070583,5.908147972878069e-07,1
1,0.02753022152675031,2.4207888e-05,3.4355123,3.1170986,6.661176724563249e-07,1
1,0.03141072142872064,2.4190078e-05,3.445514,3.1269858,7.600074885090192e-07,1
1,0.036587387964613693,2.4197711e-05,3.4555924,3.1371214,8.852583183173297e-07,1
