[Summary]
Cell: 276 NMC811 30C
First Protocol: C:\Users\OEMS\Documents\EC-Lab\Data\Mitch\Protocols\AMIDR Form.mps
Mass (mg): 1.855
Capacity (mAHr): 0.417
Started: 06/07/2023 17:17:50.025
[End Summary]
[Data]
Step Type,Run Time (h),Current (A),Potential vs. Counter (V),Potential (V),Capacity (Ah),Step Number
1,0.0,2.0722875000000003e-05,2.9940608,2.6803532,0.0,1
1,1.983333283230119e-05,2.0853236e-05,3.0041654,2.6834092,4.135954046828879e-10,1
1,7.788888692125005e-05,2.0854e-05,3.0142014,2.6937122,1.6242611071922712e-09,1
1,0.00014005555201745463,2.0853745e-05,3.0242183,2.7038054,2.920658654326366e-09,1
1,0.00020544443925448125,2.0854e-05,3.0342734,2.7138224,4.284252297443648e-09,1
1,0.00027238888200776677,2.085419e-05,3.0444238,2.7240682,5.680286614741716e-09,1
1,0.0003402777691816381,2.0852728e-05,3.0544789,2.734066,7.096015375417967e-09,1
1,0.00040844443412627003,2.0853236e-05,3.0644958,2.7440257,8.517537684076362e-09,1
1,0.0004793333212243547,2.0854127e-05,3.0745127,2.7540236,9.995828308475516e-09,1
1,0.0005522222082719156,2.0853935e-05,3.0845296,2.7640786,1.151582700955785e-08,1
1,0.0006254444286443889,2.0854382000000002e-05,3.0946226,2.7741144,1.3042775895756981e-08,1
1,0.0007013888711703152,2.0853553e-05,3.1046586,2.7842267,1.462649272785832e-08,1
1,0.0007777222025753064,2.0853873e-05,3.1146755,2.7942054,1.621832051997383e-08,1
1,0.0008572222005669676,2.0853110000000003e-05,3.1247687,2.8042223,1.787618605213033e-08,1
1,0.0009374444207626059,2.0854507e-05,3.1348238,2.8143728,1.954911049010439e-08,1
1,0.001021166640869827,2.0853935e-05,3.1448979,2.8243706,2.129502362954534e-08,1
1,0.0011051110831936564,2.0853808000000002e-05,3.1549149,2.8343494,2.304557437811875e-08,1
1,0.001193499969849654,2.0853363e-05,3.1649508,2.8444617,2.4888805152020523e-08,1
1,0.001283611078684367,2.0853680999999998e-05,3.1749678,2.8544977,2.676794963029938e-08,1
1,0.0013756110763602516,2.0853492e-05,3.1851754,2.86461,2.868648208139671e-08,1
1,0.0014732777405596505,2.0852789e-05,3.1951923,2.8747604,3.0723186262986726e-08,1
